ProductID,ProductName,ProductDescription,ProductStartPrice,ProductPrice,ProductStartDate,ProductEndDate
"1,Antique Chair,""Beautifully crafted antique chair with intricate woodwork"",0,500,""2024-06-01 09:00:00"",""2024-06-10 17:00:00"""
"2,Vintage Necklace,""Elegant vintage necklace adorned with pearls and gemstones"",0,300,""2024-06-02 10:00:00"",""2024-06-11 18:00:00"""
"3,Silverware Set,""Exquisite silverware set consisting of forks, knives, and spoons"",0,200,""2024-06-03 11:00:00"",""2024-06-12 19:00:00"""
"4,Painting,""Beautiful oil painting depicting a serene landscape"",0,800,""2024-06-04 12:00:00"",""2024-06-13 20:00:00"""
"5,Antique Pocket Watch,""Rare antique pocket watch with intricate engravings"",0,600,""2024-06-05 13:00:00"",""2024-06-14 21:00:00"""
"6,Chinese Vase,""Antique Chinese vase adorned with traditional motifs"",0,400,""2024-06-06 14:00:00"",""2024-06-15 22:00:00"""
"7,Wedgwood Plate,""Collectible Wedgwood plate featuring intricate blue and white design"",0,150,""2024-06-07 15:00:00"",""2024-06-16 23:00:00"""
"8,Vintage Dress,""Elegant vintage dress made from luxurious silk fabric"",0,250,""2024-06-08 16:00:00"",""2024-06-17 09:00:00"""
"9,Rare Coin,""Rare collectible coin dating back to the 18th century"",0,700,""2024-06-09 17:00:00"",""2024-06-18 10:00:00"""
"10,Crystal Decanter Set,""Exquisite crystal decanter set with matching glasses"",0,300,""2024-06-10 18:00:00"",""2024-06-19 11:00:00"""
"11,Chandelier,""Magnificent chandelier adorned with crystal pendants"",0,1000,""2024-06-11 19:00:00"",""2024-06-20 12:00:00"""
"12,Victorian Brooch,""Antique Victorian brooch featuring intricate filigree work"",0,400,""2024-06-12 20:00:00"",""2024-06-21 13:00:00"""
"13,Art Deco Mirror,""Stunning Art Deco mirror with geometric design"",0,350,""2024-06-13 21:00:00"",""2024-06-22 14:00:00"""
"14,Oriental Rug,""Handwoven Oriental rug with vibrant colors and intricate patterns"",0,600,""2024-06-14 22:00:00"",""2024-06-23 15:00:00"""
"15,Fine Wine,""Rare bottle of fine wine from a renowned vineyard"",0,200,""2024-06-15 23:00:00"",""2024-06-24 16:00:00"""
"16,Antique Chest,""Beautifully carved antique chest with hidden compartments"",0,800,""2024-06-16 09:00:00"",""2024-06-25 17:00:00"""
"17,Vintage Typewriter,""Classic vintage typewriter in excellent working condition"",0,250,""2024-06-17 10:00:00"",""2024-06-26 18:00:00"""
"18,Gold Pocket Watch,""Luxurious gold pocket watch with intricate detailing"",0,1000,""2024-06-18 11:00:00"",""2024-06-27 19:00:00"""
"19,Carved Wooden Sculpture,""Hand-carved wooden sculpture depicting a mythical creature"",0,400,""2024-06-19 12:00:00"",""2024-06-28 20:00:00"""
"20,Art Nouveau Lamp,""Elegant Art Nouveau lamp with stained glass shade"",0,300,""2024-06-20 13:00:00"",""2024-06-29 21:00:00"""
"21,Japanese Katana,""Authentic Japanese katana sword with ornate hilt"",0,1200,""2024-06-21 14:00:00"",""2024-06-30 22:00:00"""
"22,Fine Porcelain Figurine,""Exquisite porcelain figurine depicting a ballerina in graceful pose"",0,200,""2024-06-22 15:00:00"",""2024-07-01 09:00:00"""
"23,Decorative Telescope,""Decorative brass telescope with wooden stand"",0,250,""2024-06-23 16:00:00"",""2024-07-02 10:00:00"""
"24,Hand-Painted Ceramic Bowl,""Hand-painted ceramic bowl featuring intricate floral motifs"",0,150,""2024-06-24 17:00:00"",""2024-07-03 11:00:00"""
"25,Antique Doll,""Antique porcelain doll with authentic Victorian clothing"",0,350,""2024-06-25 18:00:00"",""2024-07-04 12:00:00"""
"26,Autographed Memorabilia,""Rare autographed memorabilia from a famous celebrity"",0,500,""2024-06-26 19:00:00"",""2024-07-05 13:00:00"""
"27,Japanese Woodblock Print,""Rare Japanese woodblock print by renowned artist"",0,600,""2024-06-27 20:00:00"",""2024-07-06 14:00:00"""
"28,Fine China Tea Set,""Exquisite fine china tea set with delicate floral patterns"",0,200,""2024-06-28 21:00:00"",""2024-07-07 15:00:00"""
"29,Handcrafted Violin,""Masterfully handcrafted violin with rich, warm tones"",0,800,""2024-06-29 22:00:00"",""2024-07-08 16:00:00"""
"30,Antique Book Collection,""Collection of rare and antique books spanning various genres"",0,700,""2024-06-30 23:00:00"",""2024-07-09 17:00:00"""
